,status,value,date
785,cases,110.0,2020-03-19
786,cases,111.0,2020-03-19
787,cases,112.0,2020-03-19
788,cases,113.0,2020-03-19
789,cases,114.0,2020-03-19
790,cases,115.0,2020-03-19
791,cases,116.0,2020-03-19
792,cases,117.0,2020-03-19
793,cases,118.0,2020-03-19
794,cases,119.0,2020-03-19
795,cases,120.0,2020-03-19
796,cases,121.0,2020-03-19
923,cases,122.0,2020-03-20
924,cases,123.0,2020-03-20
925,cases,124.0,2020-03-20
926,cases,125.0,2020-03-20
927,cases,126.0,2020-03-20
928,cases,127.0,2020-03-20
929,cases,128.0,2020-03-20
930,cases,129.0,2020-03-20
931,cases,130.0,2020-03-20
932,cases,131.0,2020-03-20
933,cases,132.0,2020-03-20
934,cases,133.0,2020-03-20
935,cases,134.0,2020-03-20
936,cases,135.0,2020-03-20
937,cases,136.0,2020-03-20
938,cases,137.0,2020-03-20
939,cases,138.0,2020-03-20
940,cases,139.0,2020-03-20
1146,cases,140.0,2020-03-21
1147,cases,141.0,2020-03-21
1148,cases,142.0,2020-03-21
1149,cases,143.0,2020-03-21
1150,cases,144.0,2020-03-21
1151,cases,145.0,2020-03-21
1152,cases,146.0,2020-03-21
1153,cases,147.0,2020-03-21
1154,cases,148.0,2020-03-21
1155,cases,149.0,2020-03-21
1156,cases,150.0,2020-03-21
1157,cases,151.0,2020-03-21
1158,cases,152.0,2020-03-21
1159,cases,153.0,2020-03-21
1160,cases,154.0,2020-03-21
1161,cases,155.0,2020-03-21
1162,cases,156.0,2020-03-21
1163,cases,157.0,2020-03-21
1164,cases,158.0,2020-03-21
1165,cases,159.0,2020-03-21
1166,cases,160.0,2020-03-21
1167,cases,161.0,2020-03-21
1168,cases,162.0,2020-03-21
1169,cases,163.0,2020-03-21
1170,cases,164.0,2020-03-21
1171,cases,165.0,2020-03-21
1172,cases,166.0,2020-03-21
1173,cases,167.0,2020-03-21
1174,cases,168.0,2020-03-21
1175,cases,169.0,2020-03-21
1176,cases,170.0,2020-03-21
1177,cases,171.0,2020-03-21
1178,cases,172.0,2020-03-21
1179,cases,173.0,2020-03-21
1180,cases,174.0,2020-03-21
1181,cases,175.0,2020-03-21
1182,cases,176.0,2020-03-21
1183,cases,177.0,2020-03-21
1184,cases,178.0,2020-03-21
1185,cases,179.0,2020-03-21
1186,cases,180.0,2020-03-21
1187,cases,181.0,2020-03-21
1378,cases,182.0,2020-03-22
1379,cases,183.0,2020-03-22
1380,cases,184.0,2020-03-22
1381,cases,185.0,2020-03-22
1382,cases,186.0,2020-03-22
1383,cases,187.0,2020-03-22
1384,cases,188.0,2020-03-22
1385,cases,189.0,2020-03-22
1386,cases,190.0,2020-03-22
1387,cases,191.0,2020-03-22
1388,cases,192.0,2020-03-22
1389,cases,193.0,2020-03-22
1390,cases,194.0,2020-03-22
1391,cases,195.0,2020-03-22
1392,cases,196.0,2020-03-22
1393,cases,197.0,2020-03-22
1394,cases,198.0,2020-03-22
1395,cases,199.0,2020-03-22
1396,cases,200.0,2020-03-22
1397,cases,201.0,2020-03-22
1398,cases,202.0,2020-03-22
1399,cases,203.0,2020-03-22
1400,cases,204.0,2020-03-22
1401,cases,205.0,2020-03-22
1402,cases,206.0,2020-03-22
1403,cases,207.0,2020-03-22
1404,cases,208.0,2020-03-22
1405,cases,209.0,2020-03-22
1406,cases,210.0,2020-03-22
1407,cases,211.0,2020-03-22
1408,cases,212.0,2020-03-22
1409,cases,213.0,2020-03-22
1410,cases,214.0,2020-03-22
1411,cases,215.0,2020-03-22
1412,cases,216.0,2020-03-22
1413,cases,217.0,2020-03-22
1414,cases,218.0,2020-03-22
1415,cases,219.0,2020-03-22
1563,cases,221.0,2020-03-23
1564,cases,220.0,2020-03-23
1565,cases,222.0,2020-03-23
1566,cases,223.0,2020-03-23
1567,cases,224.0,2020-03-23
1568,cases,225.0,2020-03-23
1569,cases,226.0,2020-03-23
1570,cases,227.0,2020-03-23
1571,cases,228.0,2020-03-23
1572,cases,229.0,2020-03-23
1573,cases,230.0,2020-03-23
1574,cases,231.0,2020-03-23
1575,cases,232.0,2020-03-23
1576,cases,233.0,2020-03-23
1577,cases,234.0,2020-03-23
1578,cases,235.0,2020-03-23
1579,cases,236.0,2020-03-23
1580,cases,237.0,2020-03-23
1581,cases,238.0,2020-03-23
1582,cases,239.0,2020-03-23
1583,cases,240.0,2020-03-23
1584,cases,241.0,2020-03-23
1585,cases,242.0,2020-03-23
1586,cases,243.0,2020-03-23
1587,cases,244.0,2020-03-23
1588,cases,245.0,2020-03-23
1589,cases,246.0,2020-03-23
1590,cases,247.0,2020-03-23
1591,cases,248.0,2020-03-23
1592,cases,249.0,2020-03-23
1593,cases,250.0,2020-03-23
1594,cases,251.0,2020-03-23
1595,cases,252.0,2020-03-23
1596,cases,253.0,2020-03-23
1597,cases,254.0,2020-03-23
1598,cases,255.0,2020-03-23
1599,cases,256.0,2020-03-23
1600,cases,257.0,2020-03-23
1601,cases,258.0,2020-03-23
1602,cases,259.0,2020-03-23
1603,cases,260.0,2020-03-23
1604,cases,261.0,2020-03-23
1605,cases,262.0,2020-03-23
1606,cases,263.0,2020-03-23
1607,cases,264.0,2020-03-23
1608,cases,265.0,2020-03-23
1609,cases,266.0,2020-03-23
1610,cases,267.0,2020-03-23
1611,cases,268.0,2020-03-23
1612,cases,269.0,2020-03-23
1613,cases,270.0,2020-03-23
1614,cases,271.0,2020-03-23
1615,cases,272.0,2020-03-23
1616,cases,273.0,2020-03-23
1617,cases,274.0,2020-03-23
1618,cases,275.0,2020-03-23
1619,cases,276.0,2020-03-23
1620,cases,277.0,2020-03-23
1621,cases,278.0,2020-03-23
1622,cases,279.0,2020-03-23
1623,cases,280.0,2020-03-23
1624,cases,281.0,2020-03-23
1625,cases,282.0,2020-03-23
1626,cases,283.0,2020-03-23
1627,cases,284.0,2020-03-23
1628,cases,285.0,2020-03-23
1629,cases,286.0,2020-03-23
1630,cases,287.0,2020-03-23
1631,cases,288.0,2020-03-23
1632,cases,289.0,2020-03-23
1633,cases,290.0,2020-03-23
1634,cases,291.0,2020-03-23
1635,cases,292.0,2020-03-23
1636,cases,293.0,2020-03-23
1637,cases,294.0,2020-03-23
1638,cases,295.0,2020-03-23
1639,cases,296.0,2020-03-23
1640,cases,297.0,2020-03-23
1641,cases,298.0,2020-03-23
1642,cases,299.0,2020-03-23
1643,cases,300.0,2020-03-23
1644,cases,301.0,2020-03-23
1645,cases,302.0,2020-03-23
1646,cases,303.0,2020-03-23
1647,cases,304.0,2020-03-23
1648,cases,305.0,2020-03-23
1649,cases,306.0,2020-03-23
1650,cases,307.0,2020-03-23
1651,cases,308.0,2020-03-23
1652,cases,309.0,2020-03-23
1653,cases,310.0,2020-03-23
1654,cases,311.0,2020-03-23
1655,cases,312.0,2020-03-23
1656,cases,313.0,2020-03-23
1657,cases,314.0,2020-03-23
1658,cases,315.0,2020-03-23
1659,cases,316.0,2020-03-23
1660,cases,317.0,2020-03-23
1661,cases,318.0,2020-03-23
1662,cases,319.0,2020-03-23
1663,cases,320.0,2020-03-23
1664,cases,321.0,2020-03-23
1665,cases,322.0,2020-03-23
1666,cases,323.0,2020-03-23
1667,cases,324.0,2020-03-23
1668,cases,325.0,2020-03-23
1669,cases,326.0,2020-03-23
1670,cases,327.0,2020-03-23
1671,cases,328.0,2020-03-23
1672,cases,329.0,2020-03-23
1673,cases,330.0,2020-03-23
1674,cases,331.0,2020-03-23
1675,cases,332.0,2020-03-23
1676,cases,333.0,2020-03-23
1677,cases,334.0,2020-03-23
1678,cases,335.0,2020-03-23
1679,cases,336.0,2020-03-23
1680,cases,337.0,2020-03-23
1681,cases,338.0,2020-03-23
1682,cases,339.0,2020-03-23
1683,cases,340.0,2020-03-23
1684,cases,341.0,2020-03-23
1685,cases,342.0,2020-03-23
1686,cases,343.0,2020-03-23
1687,cases,344.0,2020-03-23
1688,cases,345.0,2020-03-23
1689,cases,346.0,2020-03-23
1690,cases,347.0,2020-03-23
1691,cases,348.0,2020-03-23
1692,cases,349.0,2020-03-23
1693,cases,350.0,2020-03-23
1694,cases,351.0,2020-03-23
1695,cases,352.0,2020-03-23
1696,cases,353.0,2020-03-23
1697,cases,354.0,2020-03-23
1698,cases,355.0,2020-03-23
1699,cases,356.0,2020-03-23
1700,cases,357.0,2020-03-23
1701,cases,358.0,2020-03-23
1702,cases,359.0,2020-03-23
1703,cases,360.0,2020-03-23
1704,cases,361.0,2020-03-23
1705,cases,362.0,2020-03-23
1706,cases,363.0,2020-03-23
1707,cases,364.0,2020-03-23
1708,cases,365.0,2020-03-23
1709,cases,366.0,2020-03-23
1710,cases,367.0,2020-03-23
1711,cases,368.0,2020-03-23
1712,cases,369.0,2020-03-23
1713,cases,370.0,2020-03-23
1714,cases,371.0,2020-03-23
1715,cases,372.0,2020-03-23
1716,cases,373.0,2020-03-23
1717,cases,374.0,2020-03-23
1718,cases,375.0,2020-03-23
1719,cases,376.0,2020-03-23
1720,cases,377.0,2020-03-23
1721,cases,378.0,2020-03-23
1722,cases,379.0,2020-03-23
1723,cases,380.0,2020-03-23
1724,cases,381.0,2020-03-23
1725,cases,382.0,2020-03-23
1726,cases,383.0,2020-03-23
1727,cases,384.0,2020-03-23
1728,cases,385.0,2020-03-23
1729,cases,386.0,2020-03-23
1730,cases,387.0,2020-03-23
1731,cases,388.0,2020-03-23
1732,cases,389.0,2020-03-23
1733,cases,390.0,2020-03-23
1734,cases,391.0,2020-03-23
1735,cases,392.0,2020-03-23
1736,cases,393.0,2020-03-23
1737,cases,394.0,2020-03-23
1738,cases,395.0,2020-03-23
1739,cases,396.0,2020-03-23
1740,cases,397.0,2020-03-23
1741,cases,398.0,2020-03-23
1742,cases,399.0,2020-03-23
1743,cases,400.0,2020-03-23
1744,cases,401.0,2020-03-23
1745,cases,402.0,2020-03-23
1746,cases,403.0,2020-03-23
1747,cases,404.0,2020-03-23
1748,cases,405.0,2020-03-23
1749,cases,406.0,2020-03-23
1750,cases,407.0,2020-03-23
1751,cases,408.0,2020-03-23
1752,cases,409.0,2020-03-23
1753,cases,410.0,2020-03-23
1754,cases,411.0,2020-03-23
1755,cases,412.0,2020-03-23
1756,cases,413.0,2020-03-23
1757,cases,414.0,2020-03-23
1758,cases,415.0,2020-03-23
1759,cases,416.0,2020-03-23
1760,cases,417.0,2020-03-23
1761,cases,418.0,2020-03-23
1762,cases,419.0,2020-03-23
1763,cases,420.0,2020-03-23
1764,cases,421.0,2020-03-23
1765,cases,422.0,2020-03-23
1766,cases,423.0,2020-03-23
1767,cases,424.0,2020-03-23
1768,cases,425.0,2020-03-23
1769,cases,426.0,2020-03-23
1770,cases,427.0,2020-03-23
1771,cases,428.0,2020-03-23
1772,cases,429.0,2020-03-23
1773,cases,430.0,2020-03-23
1774,cases,431.0,2020-03-23
1775,cases,432.0,2020-03-23
1776,cases,433.0,2020-03-23
1777,cases,434.0,2020-03-23
1778,cases,435.0,2020-03-23
1779,cases,436.0,2020-03-23
1780,cases,437.0,2020-03-23
1781,cases,438.0,2020-03-23
1782,cases,439.0,2020-03-23
1783,cases,440.0,2020-03-23
1784,cases,441.0,2020-03-23
1785,cases,442.0,2020-03-23
1786,cases,443.0,2020-03-23
1787,cases,444.0,2020-03-23
1788,cases,445.0,2020-03-23
1789,cases,446.0,2020-03-23
1790,cases,447.0,2020-03-23
1791,cases,448.0,2020-03-23
1792,cases,449.0,2020-03-23
1793,cases,450.0,2020-03-23
1794,cases,451.0,2020-03-23
1795,cases,452.0,2020-03-23
1796,cases,453.0,2020-03-23
1797,cases,454.0,2020-03-23
1798,cases,455.0,2020-03-23
1799,cases,456.0,2020-03-23
1800,cases,457.0,2020-03-23
1801,cases,458.0,2020-03-23
1802,cases,459.0,2020-03-23
1803,cases,460.0,2020-03-23
1804,cases,461.0,2020-03-23
1805,cases,462.0,2020-03-23
1806,cases,463.0,2020-03-23
1807,cases,464.0,2020-03-23
1808,cases,465.0,2020-03-23
1809,cases,466.0,2020-03-23
1810,cases,467.0,2020-03-23
1811,cases,468.0,2020-03-23
1812,cases,469.0,2020-03-23
1813,cases,470.0,2020-03-23
1814,cases,471.0,2020-03-23
1815,cases,472.0,2020-03-23
1816,cases,473.0,2020-03-23
1817,cases,474.0,2020-03-23
1818,cases,475.0,2020-03-23
1819,cases,476.0,2020-03-23
1820,cases,477.0,2020-03-23
1821,cases,478.0,2020-03-23
1822,cases,479.0,2020-03-23
1823,cases,480.0,2020-03-23
1824,cases,481.0,2020-03-23
1825,cases,482.0,2020-03-23
1826,cases,483.0,2020-03-23
1827,cases,484.0,2020-03-23
1828,cases,485.0,2020-03-23
1829,cases,486.0,2020-03-23
1830,cases,487.0,2020-03-23
1831,cases,488.0,2020-03-23
1832,cases,489.0,2020-03-23
1833,cases,490.0,2020-03-23
1834,cases,491.0,2020-03-23
1835,cases,492.0,2020-03-23
1836,cases,493.0,2020-03-23
1837,cases,494.0,2020-03-23
1838,cases,495.0,2020-03-23
1839,cases,496.0,2020-03-23
1840,cases,497.0,2020-03-23
1841,cases,498.0,2020-03-23
1842,cases,499.0,2020-03-23
1843,cases,500.0,2020-03-23
1844,cases,501.0,2020-03-23
1845,cases,502.0,2020-03-23
1846,cases,503.0,2020-03-23
1847,cases,504.0,2020-03-23
1848,cases,505.0,2020-03-23
1849,cases,506.0,2020-03-23
1850,cases,507.0,2020-03-23
1851,cases,508.0,2020-03-23
1852,cases,509.0,2020-03-23
1853,cases,510.0,2020-03-23
1854,cases,511.0,2020-03-23
1855,cases,512.0,2020-03-23
1856,cases,513.0,2020-03-23
1857,cases,514.0,2020-03-23
1858,cases,515.0,2020-03-23
1859,cases,516.0,2020-03-23
1860,cases,517.0,2020-03-23
1861,cases,518.0,2020-03-23
1862,cases,519.0,2020-03-23
1863,cases,520.0,2020-03-23
1864,cases,521.0,2020-03-23
1865,cases,522.0,2020-03-23
1866,cases,523.0,2020-03-23
1867,cases,524.0,2020-03-23
1868,cases,525.0,2020-03-23
1869,cases,526.0,2020-03-23
1870,cases,527.0,2020-03-23
1871,cases,528.0,2020-03-23
1872,cases,529.0,2020-03-23
1873,cases,530.0,2020-03-23
1874,cases,531.0,2020-03-23
1875,cases,532.0,2020-03-23
1876,cases,533.0,2020-03-23
1877,cases,534.0,2020-03-23
1878,cases,535.0,2020-03-23
1879,cases,536.0,2020-03-23
1880,cases,537.0,2020-03-23
1881,cases,538.0,2020-03-23
1882,cases,539.0,2020-03-23
1883,cases,540.0,2020-03-23
1884,cases,541.0,2020-03-23
1885,cases,542.0,2020-03-23
1886,cases,543.0,2020-03-23
1887,cases,544.0,2020-03-23
1888,cases,545.0,2020-03-23
1889,cases,546.0,2020-03-23
1890,cases,547.0,2020-03-23
1891,cases,548.0,2020-03-23
1892,cases,549.0,2020-03-23
1893,cases,550.0,2020-03-23
1894,cases,551.0,2020-03-23
1895,cases,552.0,2020-03-23
1896,cases,553.0,2020-03-23
1897,cases,554.0,2020-03-23
1898,cases,555.0,2020-03-23
1899,cases,556.0,2020-03-23
1900,cases,557.0,2020-03-23
1901,cases,558.0,2020-03-23
1902,cases,559.0,2020-03-23
1903,cases,560.0,2020-03-23
1904,cases,561.0,2020-03-23
1905,cases,562.0,2020-03-23
1906,cases,563.0,2020-03-23
1907,cases,564.0,2020-03-23
1908,cases,565.0,2020-03-23
1909,cases,566.0,2020-03-23
1910,cases,567.0,2020-03-23
1911,cases,568.0,2020-03-23
1912,cases,569.0,2020-03-23
1913,cases,570.0,2020-03-23
1914,cases,571.0,2020-03-23
1915,cases,572.0,2020-03-23
1916,cases,573.0,2020-03-23
1917,cases,574.0,2020-03-23
1918,cases,575.0,2020-03-23
1919,cases,576.0,2020-03-23
1920,cases,577.0,2020-03-23
1921,cases,578.0,2020-03-23
1922,cases,579.0,2020-03-23
1923,cases,580.0,2020-03-23
1924,cases,581.0,2020-03-23
1925,cases,582.0,2020-03-23
1926,cases,583.0,2020-03-23
1927,cases,584.0,2020-03-23
1928,cases,585.0,2020-03-23
1929,cases,586.0,2020-03-23
1930,cases,587.0,2020-03-23
1931,cases,588.0,2020-03-23
1932,cases,589.0,2020-03-23
1933,cases,590.0,2020-03-23
1934,cases,591.0,2020-03-23
1935,cases,592.0,2020-03-23
1936,cases,593.0,2020-03-23
1937,cases,594.0,2020-03-23
1938,cases,595.0,2020-03-23
1939,cases,596.0,2020-03-23
1940,cases,597.0,2020-03-23
1941,cases,598.0,2020-03-23
1942,cases,599.0,2020-03-23
1943,cases,600.0,2020-03-23
1944,cases,601.0,2020-03-23
1945,cases,602.0,2020-03-23
1946,cases,603.0,2020-03-23
1947,cases,604.0,2020-03-23
1948,cases,605.0,2020-03-23
1949,cases,606.0,2020-03-23
1950,cases,607.0,2020-03-23
1951,cases,608.0,2020-03-23
1952,cases,609.0,2020-03-23
1953,cases,610.0,2020-03-23
1954,cases,611.0,2020-03-23
1955,cases,612.0,2020-03-23
1956,cases,613.0,2020-03-23
1957,cases,614.0,2020-03-23
1958,cases,615.0,2020-03-23
1959,cases,616.0,2020-03-23
1960,cases,617.0,2020-03-23
1961,cases,618.0,2020-03-23
1962,cases,619.0,2020-03-23
1963,cases,620.0,2020-03-23
1964,cases,621.0,2020-03-23
1965,cases,622.0,2020-03-23
1966,cases,623.0,2020-03-23
1967,cases,624.0,2020-03-23
1968,cases,625.0,2020-03-23
1969,cases,626.0,2020-03-23
1970,cases,627.0,2020-03-23
1971,cases,628.0,2020-03-23
2177,cases,629.0,2020-03-24
2178,cases,630.0,2020-03-24
2179,cases,631.0,2020-03-24
2180,cases,632.0,2020-03-24
2181,cases,633.0,2020-03-24
2182,cases,634.0,2020-03-24
2183,cases,635.0,2020-03-24
2184,cases,636.0,2020-03-24
2185,cases,637.0,2020-03-24
2186,cases,638.0,2020-03-24
2187,cases,639.0,2020-03-24
2188,cases,640.0,2020-03-24
2189,cases,641.0,2020-03-24
2190,cases,642.0,2020-03-24
2191,cases,643.0,2020-03-24
2192,cases,644.0,2020-03-24
2193,cases,645.0,2020-03-24
2194,cases,646.0,2020-03-24
2195,cases,647.0,2020-03-24
2196,cases,648.0,2020-03-24
2197,cases,649.0,2020-03-24
2198,cases,650.0,2020-03-24
2199,cases,651.0,2020-03-24
2200,cases,652.0,2020-03-24
2201,cases,653.0,2020-03-24
2202,cases,654.0,2020-03-24
2203,cases,655.0,2020-03-24
2204,cases,656.0,2020-03-24
2205,cases,657.0,2020-03-24
2206,cases,658.0,2020-03-24
2207,cases,659.0,2020-03-24
2208,cases,660.0,2020-03-24
2209,cases,661.0,2020-03-24
2210,cases,662.0,2020-03-24
2211,cases,663.0,2020-03-24
2212,cases,664.0,2020-03-24
2213,cases,665.0,2020-03-24
2214,cases,666.0,2020-03-24
2215,cases,667.0,2020-03-24
2216,cases,668.0,2020-03-24
2217,cases,669.0,2020-03-24
2218,cases,670.0,2020-03-24
2219,cases,671.0,2020-03-24
2220,cases,672.0,2020-03-24
2221,cases,673.0,2020-03-24
2222,cases,674.0,2020-03-24
2223,cases,675.0,2020-03-24
2224,cases,676.0,2020-03-24
2225,cases,677.0,2020-03-24
2226,cases,678.0,2020-03-24
2227,cases,679.0,2020-03-24
2228,cases,680.0,2020-03-24
2229,cases,681.0,2020-03-24
2230,cases,682.0,2020-03-24
2231,cases,683.0,2020-03-24
2232,cases,684.0,2020-03-24
2233,cases,685.0,2020-03-24
2234,cases,686.0,2020-03-24
2235,cases,687.0,2020-03-24
2236,cases,688.0,2020-03-24
2237,cases,689.0,2020-03-24
2238,cases,690.0,2020-03-24
2239,cases,691.0,2020-03-24
2240,cases,692.0,2020-03-24
2241,cases,693.0,2020-03-24
2242,cases,694.0,2020-03-24
2243,cases,695.0,2020-03-24
2244,cases,696.0,2020-03-24
2245,cases,697.0,2020-03-24
2246,cases,698.0,2020-03-24
2247,cases,699.0,2020-03-24
2248,cases,700.0,2020-03-24
2249,cases,701.0,2020-03-24
2250,cases,702.0,2020-03-24
2251,cases,703.0,2020-03-24
2252,cases,704.0,2020-03-24
2253,cases,705.0,2020-03-24
2254,cases,706.0,2020-03-24
2255,cases,707.0,2020-03-24
2256,cases,708.0,2020-03-24
2257,cases,709.0,2020-03-24
2258,cases,710.0,2020-03-24
2259,cases,711.0,2020-03-24
2260,cases,712.0,2020-03-24
2261,cases,713.0,2020-03-24
2262,cases,714.0,2020-03-24
2263,cases,715.0,2020-03-24
2264,cases,716.0,2020-03-24
2265,cases,717.0,2020-03-24
2266,cases,718.0,2020-03-24
2267,cases,719.0,2020-03-24
2268,cases,720.0,2020-03-24
2269,cases,721.0,2020-03-24
2270,cases,722.0,2020-03-24
2271,cases,723.0,2020-03-24
2272,cases,724.0,2020-03-24
2273,cases,725.0,2020-03-24
2274,cases,726.0,2020-03-24
2275,cases,727.0,2020-03-24
2276,cases,728.0,2020-03-24
2277,cases,729.0,2020-03-24
2278,cases,730.0,2020-03-24
2279,cases,731.0,2020-03-24
2280,cases,732.0,2020-03-24
2281,cases,733.0,2020-03-24
2282,cases,734.0,2020-03-24
2283,cases,735.0,2020-03-24
2284,cases,736.0,2020-03-24
2285,cases,737.0,2020-03-24
2286,cases,738.0,2020-03-24
2287,cases,739.0,2020-03-24
2288,cases,740.0,2020-03-24
2289,cases,741.0,2020-03-24
2290,cases,742.0,2020-03-24
2291,cases,743.0,2020-03-24
2292,cases,744.0,2020-03-24
2293,cases,745.0,2020-03-24
2294,cases,746.0,2020-03-24
2295,cases,747.0,2020-03-24
2296,cases,748.0,2020-03-24
2297,cases,749.0,2020-03-24
2298,cases,750.0,2020-03-24
2299,cases,751.0,2020-03-24
2300,cases,752.0,2020-03-24
2301,cases,753.0,2020-03-24
2302,cases,754.0,2020-03-24
2303,cases,755.0,2020-03-24
2304,cases,756.0,2020-03-24
2305,cases,757.0,2020-03-24
2306,cases,758.0,2020-03-24
2307,cases,759.0,2020-03-24
2308,cases,760.0,2020-03-24
2309,cases,761.0,2020-03-24
2310,cases,762.0,2020-03-24
2311,cases,763.0,2020-03-24
2312,cases,764.0,2020-03-24
2313,cases,765.0,2020-03-24
2314,cases,766.0,2020-03-24
2315,cases,767.0,2020-03-24
2316,cases,768.0,2020-03-24
2317,cases,769.0,2020-03-24
2318,cases,770.0,2020-03-24
2319,cases,771.0,2020-03-24
2320,cases,772.0,2020-03-24
2321,cases,773.0,2020-03-24
2322,cases,774.0,2020-03-24
2323,cases,775.0,2020-03-24
2324,cases,776.0,2020-03-24
2325,cases,777.0,2020-03-24
2326,cases,778.0,2020-03-24
2327,cases,779.0,2020-03-24
2328,cases,780.0,2020-03-24
2329,cases,781.0,2020-03-24
2330,cases,782.0,2020-03-24
2331,cases,783.0,2020-03-24
2332,cases,784.0,2020-03-24
2333,cases,785.0,2020-03-24
2334,cases,786.0,2020-03-24
2335,cases,787.0,2020-03-24
2336,cases,788.0,2020-03-24
2337,cases,789.0,2020-03-24
2338,cases,790.0,2020-03-24
2339,cases,791.0,2020-03-24
2340,cases,792.0,2020-03-24
2341,cases,793.0,2020-03-24
2342,cases,794.0,2020-03-24
2343,cases,795.0,2020-03-24
2344,cases,796.0,2020-03-24
2345,cases,797.0,2020-03-24
2346,cases,798.0,2020-03-24
2347,cases,799.0,2020-03-24
2348,cases,800.0,2020-03-24
2349,cases,801.0,2020-03-24
2350,cases,802.0,2020-03-24
2351,cases,803.0,2020-03-24
2352,cases,804.0,2020-03-24
2353,cases,805.0,2020-03-24
2354,cases,806.0,2020-03-24
2355,cases,807.0,2020-03-24
2356,cases,808.0,2020-03-24
2357,cases,809.0,2020-03-24
2358,cases,810.0,2020-03-24
2359,cases,811.0,2020-03-24
2360,cases,812.0,2020-03-24
2361,cases,813.0,2020-03-24
2362,cases,814.0,2020-03-24
2363,cases,815.0,2020-03-24
2364,cases,816.0,2020-03-24
2365,cases,817.0,2020-03-24
2366,cases,818.0,2020-03-24
2367,cases,819.0,2020-03-24
2368,cases,820.0,2020-03-24
2369,cases,821.0,2020-03-24
2370,cases,822.0,2020-03-24
2371,cases,823.0,2020-03-24
2372,cases,824.0,2020-03-24
2373,cases,825.0,2020-03-24
2374,cases,826.0,2020-03-24
2375,cases,827.0,2020-03-24
2376,cases,828.0,2020-03-24
2377,cases,829.0,2020-03-24
2378,cases,830.0,2020-03-24
